tipo,potencia_watts,altura_metros,estado,sensores_luminosidad_lux,sensores_movimiento,sensores_temperatura_c,sensores_humedad_pct,eficiencia_lumens_por_watt,eficiencia_vida_util_restante_pct,registro_fecha_instalacion
Incandescente,100,6.33,Encendida,137,True,23.4,44.0,116.74,90.0,2024-05-25
Halógena,75,6.59,Apagada,68,True,25.3,66.1,120.45,67.6,2024-09-20
Halógena,50,7.79,Apagada,281,True,28.6,58.9,116.34,84.0,2024-05-24
Halógena,150,8.49,Apagada,163,False,23.6,51.8,95.39,42.8,2025-01-12
Halógena,100,8.18,Encendida,128,True,29.6,53.1,94.09,82.1,2025-05-15
Led,100,8.74,Encendida,113,True,28.2,53.8,105.39,72.9,2023-07-09
Incandescente,75,9.99,Encendida,51,False,35.0,49.3,109.21,48.5,2024-01-23
Halógena,100,6.19,Encendida,190,True,21.5,51.1,109.84,70.4,2023-12-26
Incandescente,50,7.38,Encendida,78,True,24.8,51.6,96.88,89.7,2024-06-07
Incandescente,50,6.53,Apagada,167,True,24.4,73.5,120.36,79.8,2024-05-04
Led,100,8.37,Apagada,265,True,28.9,72.0,125.86,55.1,2024-07-30
Halógena,100,9.29,Encendida,120,False,32.0,64.7,99.8,57.6,2025-04-01
Halógena,100,9.7,Apagada,182,True,24.8,74.2,115.63,89.8,2024-02-18
Halógena,75,8.49,Encendida,208,True,27.7,55.5,120.04,89.5,2024-08-23
Halógena,50,8.45,Encendida,160,False,21.3,64.2,112.59,33.7,2024-04-11
Led,150,8.33,Apagada,85,True,21.5,73.3,109.46,41.7,2024-07-31
Halógena,50,6.65,Encendida,178,False,21.0,72.0,117.96,30.2,2025-02-15
Incandescente,50,6.33,Encendida,288,False,27.2,51.0,108.17,38.9,2025-01-10
Halógena,50,6.91,Apagada,299,False,34.3,47.2,121.72,58.8,2023-10-07
Halógena,100,6.78,Apagada,109,True,22.7,47.2,92.02,71.7,2024-12-27
Halógena,150,7.36,Apagada,144,False,21.4,79.2,98.02,84.0,2024-09-23
Halógena,75,7.89,Encendida,116,False,29.4,55.1,107.82,35.6,2024-12-08
Halógena,150,9.92,Encendida,124,True,20.4,58.8,122.67,49.8,2025-04-04
Halógena,75,7.95,Encendida,241,False,30.7,50.8,113.14,76.2,2023-09-27
Halógena,75,8.9,Fallando,173,True,25.3,63.8,100.62,83.7,2024-03-19
Incandescente,75,8.89,Fallando,130,True,33.3,79.5,112.95,33.8,2024-09-18
Led,150,7.08,Encendida,284,False,22.8,55.4,116.9,49.8,2024-06-13
Halógena,75,7.43,Fallando,295,False,34.6,63.4,124.31,76.3,2023-07-03
Led,100,8.71,Encendida,284,False,32.4,73.8,97.19,70.2,2024-08-11
Incandescente,75,6.45,Encendida,141,True,26.6,55.7,114.45,66.4,2023-07-20
Halógena,50,6.58,Apagada,220,False,26.6,49.0,98.21,57.3,2024-06-21
Incandescente,75,7.2,Encendida,58,False,30.2,53.1,127.13,49.1,2024-05-14
Halógena,50,6.37,Fallando,66,True,26.7,76.2,127.93,84.2,2025-06-22
Incandescente,50,6.39,Apagada,125,True,30.7,41.0,107.85,32.2,2025-03-29
Incandescente,75,9.18,Apagada,241,False,25.6,59.6,101.82,47.0,2023-09-07
Led,100,8.3,Encendida,189,True,24.4,59.8,129.39,53.1,2024-01-14
Incandescente,100,9.29,Fallando,109,True,32.2,59.5,127.57,60.3,2024-07-13
Halógena,50,7.68,Encendida,120,True,21.4,67.0,115.35,62.5,2023-07-07
Led,75,9.79,Apagada,72,False,31.9,73.6,100.02,39.8,2023-12-04
Incandescente,150,6.48,Encendida,279,False,23.1,53.4,120.29,60.0,2024-11-18
Incandescente,75,8.03,Encendida,300,True,23.3,74.5,129.78,58.4,2024-03-22
Halógena,100,9.83,Apagada,107,True,25.6,72.5,117.38,70.5,2024-03-08
Incandescente,50,8.17,Apagada,282,False,29.5,44.2,111.59,46.0,2023-09-27
Halógena,150,6.82,Apagada,204,True,34.1,70.2,96.27,51.1,2024-01-07
Incandescente,50,7.97,Apagada,222,True,24.9,51.0,114.36,32.3,2024-03-30
Incandescente,50,8.32,Apagada,252,False,22.7,79.2,121.59,64.5,2024-06-06
Halógena,150,9.26,Fallando,175,False,27.3,73.6,99.68,89.2,2024-02-29
Incandescente,50,7.63,Apagada,219,False,31.4,72.2,114.85,60.8,2025-02-06
Led,75,9.31,Apagada,251,False,28.3,71.7,117.61,63.5,2025-01-12
Halógena,150,6.51,Apagada,76,False,33.3,68.8,108.87,38.7,2024-01-18
Halógena,100,8.77,Encendida,299,True,26.7,64.0,129.23,73.2,2024-03-14
Incandescente,150,8.71,Encendida,107,False,31.5,51.0,127.6,80.8,2024-10-24
Incandescente,75,6.03,Encendida,105,True,30.2,58.1,93.21,85.5,2024-06-18
Halógena,100,9.66,Encendida,61,False,34.4,55.0,108.53,60.6,2024-07-20
Led,50,9.57,Apagada,132,True,32.0,58.5,102.63,39.7,2024-08-08
Incandescente,100,7.44,Apagada,219,False,25.6,77.7,98.67,81.5,2023-08-04
Led,150,6.76,Encendida,62,False,30.1,45.0,114.98,83.0,2024-04-01
Led,100,9.9,Fallando,275,True,28.8,76.7,100.22,44.8,2024-12-02
Halógena,50,8.19,Apagada,76,True,23.9,53.7,92.51,84.8,2024-08-16
Halógena,75,9.09,Fallando,93,True,28.7,73.7,111.96,51.9,2024-07-18
Halógena,150,9.89,Apagada,252,False,33.6,57.1,128.33,35.2,2025-03-05
Incandescente,100,6.45,Apagada,107,True,20.2,58.8,120.93,65.8,2025-04-20
Led,75,7.68,Encendida,255,False,24.8,71.1,100.17,40.9,2025-02-24
Halógena,100,9.72,Encendida,127,False,28.7,51.3,99.52,69.5,2025-02-16
Halógena,150,9.87,Encendida,253,False,21.6,45.4,123.11,61.5,2024-10-11
Halógena,75,7.37,Encendida,92,False,32.1,43.9,90.15,51.9,2025-06-02
Led,100,9.06,Encendida,124,True,26.1,78.4,101.17,47.5,2023-10-15
Halógena,100,9.09,Encendida,280,False,29.3,73.3,94.74,73.5,2024-06-01
Halógena,100,9.37,Fallando,68,True,32.3,62.0,122.81,78.2,2023-11-18
Incandescente,100,10.0,Apagada,61,False,23.4,48.8,121.05,73.1,2025-01-14
Led,50,7.16,Encendida,73,True,28.1,42.7,111.8,34.5,2024-03-19
Halógena,50,9.77,Apagada,124,False,23.4,71.9,106.43,51.3,2023-11-21
Halógena,75,8.53,Encendida,222,False,26.9,76.1,123.78,56.5,2024-05-27
Halógena,75,8.32,Apagada,99,True,27.6,73.6,93.58,53.5,2025-05-04
Halógena,100,8.47,Encendida,50,True,32.3,41.5,105.95,66.0,2023-08-10
Halógena,75,7.19,Encendida,272,False,31.5,41.9,94.27,41.9,2023-07-26
Incandescente,50,9.37,Encendida,124,True,21.3,77.5,106.77,66.7,2024-04-04
Halógena,50,7.52,Encendida,278,True,25.9,57.4,111.84,30.3,2023-10-26
Led,50,9.59,Fallando,188,True,23.2,79.6,126.43,32.6,2024-07-02
Incandescente,150,6.76,Apagada,300,True,20.2,40.7,103.13,85.0,2023-11-14
Halógena,100,9.36,Fallando,268,False,22.0,72.2,107.68,81.6,2024-04-12
Incandescente,100,9.49,Apagada,113,True,20.8,46.3,101.18,55.4,2024-09-04
Incandescente,50,6.88,Apagada,167,False,22.5,48.2,96.54,70.6,2023-10-08
Led,150,8.06,Apagada,63,False,22.8,50.9,125.73,67.2,2023-12-13
Led,150,7.11,Apagada,194,False,31.3,74.9,128.81,64.5,2023-12-17
Halógena,50,9.65,Fallando,206,True,26.1,52.9,113.38,48.1,2024-11-28
Incandescente,50,6.85,Encendida,189,True,33.2,41.4,102.03,68.9,2023-12-12
Incandescente,100,6.22,Apagada,214,False,34.5,40.3,121.09,34.6,2024-12-16
Halógena,50,7.62,Encendida,216,True,20.0,77.3,95.36,80.5,2023-07-05
Halógena,100,9.51,Encendida,242,False,27.8,48.5,124.18,41.4,2024-01-14
Halógena,100,6.99,Fallando,65,True,26.2,57.1,93.32,35.9,2025-06-08
Halógena,50,9.16,Fallando,224,True,23.5,67.6,123.41,80.9,2024-10-14
Halógena,50,6.48,Encendida,152,False,34.0,66.2,102.84,63.7,2024-05-27
Halógena,100,8.66,Apagada,278,True,34.9,47.1,110.26,30.5,2024-02-15
Led,150,7.71,Encendida,183,False,31.6,69.9,115.21,86.3,2024-03-14
Led,75,8.53,Encendida,243,True,34.0,74.6,99.76,83.0,2024-12-09
Led,100,7.53,Encendida,229,False,22.9,40.7,109.47,31.8,2023-10-12
Incandescente,150,7.58,Fallando,154,False,22.4,49.7,125.13,49.9,2023-09-09
Halógena,100,9.64,Encendida,135,False,26.1,71.2,124.43,68.2,2023-06-27
Halógena,50,7.63,Encendida,222,True,24.2,69.5,98.46,77.0,2023-09-12
Incandescente,75,8.94,Apagada,70,True,23.7,74.7,109.1,54.8,2024-03-17
Led,50,9.89,Encendida,220,True,20.5,64.5,94.8,59.2,2024-08-26
Halógena,75,9.87,Apagada,270,False,21.6,62.5,90.03,47.3,2024-01-02
Incandescente,100,9.58,Fallando,228,False,22.7,72.3,114.32,51.7,2025-06-23
Incandescente,50,8.31,Fallando,238,True,23.4,51.5,95.02,32.1,2024-03-16
Led,150,9.19,Encendida,105,False,29.1,79.3,100.49,80.7,2023-08-07
Incandescente,100,7.98,Encendida,256,True,21.1,42.7,107.53,71.5,2024-04-13
Incandescente,100,8.44,Encendida,148,True,20.5,47.4,125.6,37.7,2023-07-28
Led,50,9.43,Apagada,156,True,30.6,77.5,123.18,86.9,2023-06-29
Led,75,7.32,Apagada,288,False,34.3,43.2,91.41,61.9,2023-08-26
Led,75,8.94,Encendida,281,True,23.3,55.2,109.83,43.3,2025-04-03
Led,100,7.06,Encendida,106,True,31.6,61.3,117.97,46.1,2024-03-28
Halógena,150,6.44,Encendida,146,True,27.5,51.5,126.3,66.1,2025-04-17
Led,75,8.25,Encendida,261,False,21.4,57.2,108.4,31.4,2025-06-18
Halógena,100,9.83,Encendida,113,True,22.3,53.7,99.35,53.4,2024-12-20
Led,150,6.72,Encendida,236,False,22.6,66.5,112.36,87.4,2023-08-22
Led,75,7.33,Apagada,224,True,21.9,77.7,92.6,84.3,2024-11-06
Incandescente,150,8.92,Apagada,116,False,32.3,57.2,99.21,88.2,2023-12-21
Incandescente,50,6.2,Apagada,234,False,26.8,58.6,127.49,57.4,2025-06-15
Led,150,7.34,Encendida,218,True,23.8,52.4,113.71,82.0,2024-02-14
Led,50,6.35,Encendida,247,True,31.0,70.5,93.25,46.6,2024-04-06
Led,100,6.88,Fallando,109,True,33.7,56.0,107.92,88.7,2023-06-27
Halógena,75,8.29,Apagada,145,False,33.8,70.3,106.5,34.0,2024-01-09
Incandescente,50,7.73,Fallando,232,False,34.9,54.0,110.08,60.5,2025-06-07
Led,150,8.85,Encendida,183,False,22.5,75.7,123.73,54.1,2025-03-15
Incandescente,50,7.5,Apagada,173,True,30.0,46.8,105.59,42.2,2024-08-20
Halógena,50,9.55,Encendida,279,False,29.0,71.0,123.55,60.5,2025-06-18
Halógena,75,6.66,Encendida,237,False,26.2,74.7,105.97,74.1,2025-06-08
Halógena,100,8.26,Apagada,88,False,31.1,51.4,98.15,52.2,2024-11-29
Led,150,6.21,Apagada,113,True,29.6,79.3,111.84,39.1,2023-08-05
Incandescente,75,8.14,Encendida,129,False,27.8,60.0,120.07,68.7,2025-03-20
Halógena,100,8.64,Apagada,278,True,29.5,54.8,91.18,48.8,2023-09-03
Halógena,50,7.4,Encendida,163,True,31.3,49.7,113.36,45.7,2024-07-09
Halógena,75,6.06,Fallando,171,True,22.5,73.9,120.59,87.2,2023-10-04
Led,100,7.09,Apagada,257,True,21.0,77.3,118.16,83.6,2024-07-15
Incandescente,50,7.29,Fallando,258,True,28.0,44.8,123.13,70.3,2025-01-14
Halógena,75,9.7,Encendida,71,True,24.4,76.2,90.47,63.9,2024-09-04
Led,50,8.4,Encendida,294,True,28.7,54.0,117.25,77.5,2025-02-26
Halógena,75,6.58,Fallando,161,False,30.6,71.5,94.94,74.3,2024-02-08
Led,75,8.05,Fallando,160,True,32.1,53.5,93.44,31.5,2023-06-27
Halógena,50,6.78,Encendida,62,False,34.2,55.2,99.56,50.0,2025-06-07
Led,75,6.85,Encendida,203,True,31.0,65.2,103.45,51.5,2024-06-11
Halógena,150,8.17,Apagada,236,True,27.4,56.7,95.29,61.0,2024-12-26
Incandescente,100,6.21,Encendida,71,True,20.3,62.5,129.96,51.1,2024-10-06
Incandescente,50,9.8,Fallando,248,False,30.3,64.1,117.63,57.3,2024-10-26
Incandescente,50,7.84,Apagada,232,False,29.7,57.3,118.27,76.4,2024-04-14
Halógena,100,9.93,Encendida,167,True,30.3,52.0,91.29,81.6,2024-05-10
Halógena,100,6.53,Encendida,88,True,25.3,69.2,108.04,90.0,2024-01-11
Halógena,100,7.72,Apagada,200,True,29.3,60.0,108.19,67.7,2025-03-08
Halógena,150,6.63,Encendida,95,False,22.3,43.5,123.35,89.1,2024-05-02
Halógena,75,9.56,Encendida,53,False,21.4,44.0,93.1,75.6,2024-12-25
Halógena,75,7.12,Apagada,137,True,31.0,40.2,108.13,48.7,2024-11-28
Halógena,150,6.35,Apagada,196,False,24.8,72.6,128.59,32.3,2024-01-02
Incandescente,50,9.78,Apagada,161,True,32.3,79.8,108.43,48.2,2024-02-10
Halógena,75,6.92,Apagada,196,True,22.3,70.3,93.23,32.5,2025-01-06
Halógena,150,8.3,Encendida,108,False,34.9,49.6,102.83,76.2,2024-12-30
Halógena,100,8.84,Fallando,210,True,30.7,69.5,113.54,32.4,2024-10-21
Incandescente,75,6.86,Encendida,65,False,23.7,48.8,110.75,77.1,2023-11-01
Incandescente,50,9.77,Apagada,105,False,34.5,70.1,117.57,43.3,2023-08-19
Halógena,150,7.13,Encendida,187,False,32.5,58.2,90.47,62.6,2025-01-31
Incandescente,100,7.77,Apagada,92,False,34.0,75.3,90.67,79.7,2024-08-19
Led,50,6.22,Fallando,55,False,33.2,62.2,98.15,89.9,2023-09-11
Halógena,150,8.35,Fallando,128,True,23.1,78.9,94.3,47.4,2024-12-02
Incandescente,150,8.19,Encendida,165,True,20.9,44.7,122.33,51.8,2024-04-13
Incandescente,75,8.26,Fallando,290,True,22.9,59.3,104.15,85.3,2023-10-11
Halógena,150,8.78,Fallando,251,False,22.0,69.2,114.03,64.3,2025-05-14
Halógena,150,9.09,Encendida,165,False,29.6,69.1,127.49,50.8,2023-09-30
Led,150,7.45,Encendida,227,True,26.5,72.3,98.81,37.6,2024-05-12
Led,50,6.58,Apagada,104,True,31.3,72.5,124.12,78.0,2023-12-27
Incandescente,100,6.66,Encendida,78,False,26.8,59.9,122.97,83.6,2025-03-11
Incandescente,100,8.73,Encendida,192,False,20.7,67.2,119.13,31.3,2024-11-18
Led,100,6.23,Encendida,195,True,32.2,55.7,114.93,73.0,2023-12-16
Led,75,6.28,Encendida,292,True,27.8,49.3,119.14,71.1,2025-01-17
Led,150,9.57,Encendida,260,False,20.4,56.0,109.24,78.0,2024-07-03
Led,100,9.05,Encendida,218,True,21.4,67.9,104.37,74.2,2024-03-26
Led,100,7.15,Encendida,135,False,24.5,78.2,97.9,66.7,2024-10-19
Halógena,150,7.86,Apagada,89,True,34.2,61.1,111.27,32.4,2023-11-19
Halógena,150,7.35,Encendida,70,True,33.7,42.5,124.75,78.7,2024-04-02
Halógena,150,7.77,Encendida,194,True,21.7,50.4,93.04,82.5,2023-10-16
Led,75,8.74,Encendida,218,False,26.6,43.1,129.14,75.2,2024-02-19
Halógena,50,8.15,Fallando,183,True,28.6,76.6,99.98,55.4,2023-12-21
Halógena,150,9.84,Apagada,178,True,33.6,68.0,108.95,66.8,2023-08-31
Incandescente,50,6.74,Encendida,253,True,24.6,47.3,126.4,47.2,2023-09-20
Halógena,50,9.7,Encendida,230,True,24.6,62.2,104.96,64.0,2024-12-01
Incandescente,50,8.58,Encendida,51,True,20.5,43.4,112.67,81.5,2025-02-04
Halógena,50,8.67,Fallando,89,True,29.3,59.9,109.44,88.4,2023-11-07
Led,100,6.25,Apagada,263,False,26.2,52.6,124.2,82.3,2025-05-06
Led,50,8.02,Apagada,210,True,31.5,75.2,129.19,47.8,2024-09-13
Led,50,6.75,Fallando,283,True,33.6,57.4,95.45,46.9,2024-03-15
Halógena,50,8.16,Encendida,140,False,33.9,60.6,110.8,83.7,2025-01-08
Incandescente,75,8.84,Encendida,181,False,27.4,59.8,110.95,43.4,2024-11-19
Halógena,100,8.79,Apagada,98,False,26.6,65.7,128.22,68.0,2025-01-01
Incandescente,50,9.0,Apagada,75,False,20.5,43.7,125.58,30.7,2023-09-07
Halógena,50,8.31,Encendida,182,True,28.0,40.9,118.56,63.8,2023-10-17
Halógena,50,9.03,Encendida,219,True,32.2,64.1,99.32,84.5,2025-05-28
Led,100,7.69,Fallando,133,False,29.2,59.4,97.47,44.0,2023-09-06
Led,150,9.49,Encendida,90,False,28.0,54.1,100.48,76.4,2025-06-10
Halógena,50,9.59,Encendida,65,True,29.5,55.7,123.66,31.4,2024-06-28
Halógena,150,8.41,Fallando,178,False,22.8,43.7,110.25,64.0,2024-09-27
Halógena,150,8.71,Apagada,166,True,20.3,75.7,90.04,67.7,2025-05-20
Halógena,150,8.61,Fallando,290,False,29.0,72.4,128.88,89.1,2024-06-30
Incandescente,75,7.4,Encendida,67,False,24.9,46.4,98.31,64.5,2025-06-17
Incandescente,150,6.96,Fallando,266,False,23.2,75.4,119.91,38.5,2024-10-13
Halógena,75,6.48,Fallando,150,False,33.6,57.2,108.17,88.4,2025-01-29
Halógena,150,9.18,Apagada,188,True,28.2,54.0,101.28,34.4,2024-10-16
Halógena,75,6.19,Encendida,189,True,23.6,42.8,126.99,70.8,2023-12-14
Halógena,150,8.93,Apagada,160,False,20.6,44.1,102.4,62.3,2024-08-28
Halógena,150,6.44,Encendida,189,True,22.0,73.4,98.91,58.8,2024-10-23
Halógena,50,6.68,Encendida,295,False,32.7,41.6,113.51,42.2,2024-03-05
Halógena,75,8.89,Apagada,167,True,35.0,71.1,126.94,44.1,2025-05-16
Incandescente,100,7.89,Encendida,145,True,31.4,46.8,111.71,85.3,2023-10-21
Halógena,75,6.27,Encendida,176,True,31.2,70.7,93.83,54.9,2024-12-16
Halógena,150,7.31,Apagada,94,True,34.5,70.3,104.35,71.3,2024-04-18
Incandescente,100,7.02,Encendida,122,False,30.8,64.4,117.29,40.4,2025-04-16
Halógena,150,7.69,Apagada,221,False,23.9,49.4,126.81,63.4,2024-03-06
Led,100,7.09,Encendida,255,True,25.2,49.5,100.31,84.4,2025-06-16
Halógena,50,8.17,Apagada,275,False,31.1,79.9,121.92,48.9,2024-01-25
Incandescente,75,9.82,Encendida,99,True,28.7,51.7,90.84,78.8,2023-11-13
Halógena,150,6.99,Encendida,163,False,31.1,60.4,93.49,51.6,2024-10-27
Incandescente,50,9.14,Encendida,50,True,20.5,62.4,115.87,44.6,2024-10-26
Led,75,9.89,Encendida,142,False,21.5,57.4,95.34,71.1,2024-08-03
Halógena,100,6.6,Apagada,72,False,26.2,76.0,101.99,30.1,2023-07-21
Halógena,75,8.44,Apagada,129,False,34.5,68.6,96.43,46.8,2024-12-22
Halógena,50,8.5,Encendida,76,True,29.4,55.4,97.95,30.6,2024-02-15
Halógena,75,6.19,Encendida,248,False,26.0,44.8,114.3,81.0,2024-08-20
Incandescente,75,9.5,Encendida,148,False,32.6,70.3,99.53,36.7,2024-09-02
Incandescente,75,6.01,Fallando,85,False,31.9,46.6,105.31,81.3,2024-09-11
Halógena,150,8.34,Fallando,224,False,30.5,73.2,110.01,70.6,2023-11-17
Halógena,150,8.0,Fallando,283,False,22.5,48.1,126.36,34.6,2024-02-27
Incandescente,100,8.87,Encendida,277,False,34.6,53.6,99.27,44.0,2024-03-24
Led,100,6.08,Apagada,200,False,22.8,77.0,96.4,45.0,2023-08-01
Halógena,100,9.54,Encendida,56,False,21.5,55.3,121.55,41.4,2024-11-14
Halógena,150,6.15,Apagada,67,False,31.5,54.5,102.91,31.9,2024-04-05
Led,50,9.4,Apagada,277,False,29.0,41.5,97.9,72.6,2025-03-02
Incandescente,50,6.07,Encendida,166,False,31.2,78.6,96.8,62.3,2023-10-04
Led,150,9.64,Encendida,100,False,24.2,61.8,118.65,87.9,2023-09-12
Led,75,9.85,Encendida,67,True,28.1,68.9,101.82,55.0,2024-11-16
Halógena,100,7.13,Apagada,258,False,31.3,71.1,121.78,46.4,2024-09-13
Led,150,9.52,Apagada,122,False,34.4,67.4,104.18,68.8,2024-06-08
Halógena,150,8.39,Apagada,130,False,29.6,58.0,114.13,73.4,2024-07-19
Halógena,50,7.39,Fallando,113,False,29.2,43.6,127.5,55.6,2024-07-30
Halógena,50,7.57,Apagada,68,False,32.9,67.8,120.9,45.4,2024-03-06
Halógena,100,8.4,Apagada,108,False,30.8,73.8,122.1,43.7,2024-11-04
Halógena,150,8.83,Fallando,293,False,28.0,62.0,128.76,47.4,2024-09-19
Led,50,7.71,Encendida,103,False,34.2,45.9,111.9,41.5,2024-09-29
Halógena,50,7.8,Fallando,238,False,25.6,64.4,115.97,41.2,2024-05-24
Led,150,7.03,Apagada,265,False,23.9,55.2,114.02,69.4,2024-06-30
Incandescente,100,7.81,Fallando,153,False,21.8,58.8,119.56,65.0,2024-12-06
Halógena,75,7.78,Apagada,106,True,26.5,71.4,119.9,67.2,2024-11-22
Led,150,8.32,Apagada,150,False,27.9,75.7,120.95,38.1,2024-02-27
Incandescente,100,6.13,Apagada,276,True,21.3,44.5,120.4,63.8,2024-05-02
Halógena,75,9.88,Encendida,227,False,30.7,61.1,95.33,39.7,2024-05-17
Halógena,150,7.13,Apagada,54,True,21.5,78.0,103.64,57.6,2024-08-07
Halógena,100,6.87,Encendida,108,True,24.7,79.1,110.52,53.5,2024-08-23
Incandescente,150,6.03,Apagada,128,True,30.4,76.9,130.0,73.0,2023-12-24
Incandescente,75,8.66,Fallando,55,False,27.0,40.2,123.08,48.0,2024-03-30
Led,75,8.11,Encendida,88,True,20.0,42.5,120.42,42.5,2023-07-31
Led,50,8.09,Encendida,285,True,22.0,54.8,102.51,82.8,2025-04-05
